row,date,description,town,lat,lon,status
1,14/06/2026,Engineering vehicle arnoun ababil drone,Arnoun,33.33168333,35.52566667,mapped
2,13/06/2026,Excavator majdal zoun,Majdal Zoun,33.15143056,35.22584444,mapped
3,13/06/2026,logistics position bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped
4,12/06/2026,Merkava tank yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
5,12/06/2026,D9 armored bulldozer tayr harfa ababil drone,Tayr Harfa,33.126925,35.21875556,mapped
6,11/06/2026,Merkava tank tayr harfa ababil drone,Tayr Harfa,33.126925,35.21875556,mapped
7,10/06/2026,Merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped
8,10/06/2026,Humvee yahmar al shaqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
9,09/06/2026,401 Brigade Hq Debel,Dibel / Debel,33.12090278,35.36613611,mapped
10,09/06/2026,Namer apc metula southern outskirts khiam,Khiam,33.32690833,35.61120556,mapped
11,08/06/2026,Strike on enemy vehicles near yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
12,08/06/2026,Command and control vehicle beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped
13,08/06/2026,soldiers gathering naqoura,Naqoura,33.118975,35.14008333,mapped
14,07/06/2026,Soldiers gathering beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped
15,07/06/2026,Merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped
16,07/06/2026,Command namer vehicle yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
17,06/06/2026,Sholef howitzer adaissah,Adaissah,33.25556389,35.54078056,mapped
19,06/06/2026,artillery vehicle adaissah,Adaissah,33.25556389,35.54078056,mapped
20,05/06/2026,Humvee near khiam,Khiam,33.32690833,35.61120556,mapped
21,05/06/2026,soldiers khiam,Khiam,33.32690833,35.61120556,mapped
22,05/06/2026,merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped
23,04/06/2026,Merkava tank beaufort castle 02,Beaufort Castle,33.32401389,35.53186389,mapped
24,04/06/2026,Merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped
25,03/06/2026,Merkava tank zawtar al sharqiyah,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
26,03/06/2026,personnel carrier zawtar al sharqiyah mmirleb 17494,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
27,03/06/2026,personnel carrier zawtar al sharqiyah mmirleb 17523,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
28,03/06/2026,M113 apc beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped
29,03/06/2026,Humvee zawtar al sharqiyah,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
30,02/06/2026,Targeting israeli soldiers eastern outskirts zawtar al sharqiyah,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
31,02/06/2026,Soldiers and namer vehicle near yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
32,02/06/2026,Namer vehicle near yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
33,02/06/2026,Merkava tank near yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
34,01/06/2026,Soldiers near yahmor al shqif 02,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
35,01/06/2026,Soldiers near yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
36,01/06/2026,Merkava tank near yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped
37,31/05/2026,Soldiers gathering near border site,Beaufort Castle,33.32401389,35.53186389,mapped
38,31/05/2026,Namer vehicle and apc in dibel,Dibel / Debel,33.12090278,35.36613611,mapped
39,31/05/2026,Humvee vehicle at al assi,Border area opposite Mays al-Jabal,33.17205556,35.53799167,mapped
40,30/05/2026,Merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped
41,30/05/2026,technical equipment rashaf,Rachaf / Rashaf,33.14407222,35.36260833,mapped
42,29/05/2026,Soldier at misgav am,Misgav Am,33.24803333,35.54877778,mapped
43,29/05/2026,Namer apc in ainata,Ainata,33.12971111,35.43543889,mapped
44,28/05/2026,Iron technical platform at al raheb,Khiam,33.32690833,35.61120556,mapped
45,28/05/2026,iron dome launcher vehicle khiam,Khiam,33.32690833,35.61120556,mapped
46,28/05/2026,merkava tank zawtar al sharqiyah,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
47,27/05/2026,Merkava tank on military route,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
48,27/05/2026,Iron technical platform at jal al alam,Border near Rosh HaNikra,33.08693889,35.15468611,mapped
51,26/05/2026,Vehicle And Soldier Gatherings Biranit,Border near Rmaych,33.06221389,35.34233889,mapped
52,26/05/2026,Merkava tank in rashaf,Rachaf / Rashaf,33.14407222,35.36260833,mapped
53,26/05/2026,Humvee vehicle in wadi near dibel,Dibel / Debel,33.12090278,35.36613611,mapped
54,26/05/2026,Communications equipment at al assi,Border area opposite Mays al-Jabal,33.17205556,35.53799167,mapped
55,26/05/2026,Anti drone platform barashit 02,Border near Rmaych,33.06221389,35.34233889,mapped
56,26/05/2026,Anti drone platform barashit,Border near Rmaych,33.06221389,35.34233889,mapped
57,26/05/2026,humvee zawtar al sharqiyah riverbed,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
58,26/05/2026,d9 bulldozer zawtar al sharqiyah,Zawtar al-Sharqiyah,33.3213,35.47325833,mapped
59,25/05/2026,Two israeli army vehicles,Naqoura,33.118975,35.14008333,mapped
